AÑO,Suma de RESERVA,BENEFICIO
2030,"$6546732,53",JUBILACIÓN
2029,"$5992642,10",JUBILACIÓN
2028,"$5525492,24",JUBILACIÓN
2027,"$5106421,34",JUBILACIÓN
2026,"$4758048,70",JUBILACIÓN
2025,"$4442428,46",JUBILACIÓN
2024,"$4177795,98",JUBILACIÓN
2023,"$3951153,62",JUBILACIÓN
2030,"$1390221,95",DESAHUCIO
2029,"$1258917,35",DESAHUCIO
2028,"$1142936,15",DESAHUCIO
2027,"$1041164,48",DESAHUCIO
2026,"$944613,17",DESAHUCIO
2025,"$858414,56",DESAHUCIO
2024,"$768670,43",DESAHUCIO
2023,"$714107,37",DESAHUCIO
